symbol,security,sector,industry,index,market,market_size,market_cap,bucket_broad,bucket_granular
NVDA,NVIDIA Corp,Information Technology,Semiconductors,VTI,NASDAQ,4.63413E+12,Mega Cap,Mega Cap_Information Technology,Mega Cap_Information Technology_Semiconductors
AAPL,Apple Inc,Information Technology,"Technology Hardware, Storage & Peripherals",VTI,NASDAQ,3.7709E+12,Mega Cap,Mega Cap_Information Technology,"Mega Cap_Information Technology_Technology Hardware, Storage & Peripherals"
MSFT,Microsoft Corp,Information Technology,Systems Software,VTI,NASDAQ,3.22025E+12,Mega Cap,Mega Cap_Information Technology,Mega Cap_Information Technology_Systems Software
AMZN,Amazon.com Inc,Consumer Discretionary,Broadline Retail,VTI,NASDAQ,2.58169E+12,Mega Cap,Mega Cap_Consumer Discretionary,Mega Cap_Consumer Discretionary_Broadline Retail
GOOGL,Alphabet Inc,Communication Services,Interactive Media & Services,VTI,NASDAQ,4.05657E+12,Mega Cap,Mega Cap_Communication Services,Mega Cap_Communication Services_Interactive Media & Services
AVGO,Broadcom Inc,Information Technology,Semiconductors,VTI,NASDAQ,1.58543E+12,Mega Cap,Mega Cap_Information Technology,Mega Cap_Information Technology_Semiconductors
GOOG,Alphabet Inc,Communication Services,Interactive Media & Services,VTI,NASDAQ,4.06871E+12,Mega Cap,Mega Cap_Communication Services,Mega Cap_Communication Services_Interactive Media & Services
META,Meta Platforms Inc,Communication Services,Interactive Media & Services,VTI,NASDAQ,1.83179E+12,Mega Cap,Mega Cap_Communication Services,Mega Cap_Communication Services_Interactive Media & Services
TSLA,Tesla Inc,Consumer Discretionary,Automobile Manufacturers,VTI,NASDAQ,1.3365E+12,Mega Cap,Mega Cap_Consumer Discretionary,Mega Cap_Consumer Discretionary_Automobile Manufacturers
LLY,Eli Lilly & Co,Health Care,Pharmaceuticals,VTI,NYSE,9.77957E+11,Mega Cap,Mega Cap_Health Care,Mega Cap_Health Care_Pharmaceuticals
BRK.B,Berkshire Hathaway Inc,Financials,Multi-Sector Holdings,VTI,NYSE,1.01951E+12,Mega Cap,Mega Cap_Financials,Mega Cap_Financials_Multi-Sector Holdings
JPM,JPMorgan Chase & Co,Financials,Diversified Banks,VTI,NYSE,8.3752E+11,Mega Cap,Mega Cap_Financials,Mega Cap_Financials_Diversified Banks
