symbol,rs_date,RS_20d,RS_60d,RS_120d,RS_180d,RS_250d,RS_20d_z,RS_60d_z,RS_120d_z,RS_180d_z,RS_250d_z,RS_Score,RS_Rating
2GO,2026-03-13,1.0443275456503245,0.9684783778939879,0.9858577200539399,1.046125141486694,1.005538467288979,0.24303726081197452,-0.10958039693256832,-0.06748567782019263,-0.09344239859160443,-0.1058021562226712,-0.06000061560534277,57.79661016949152
AAA,2026-03-13,1.0443275456503245,0.9684783778939879,0.9858577200539399,1.046125141486694,1.005538467288979,0.24303726081197452,-0.10958039693256832,-0.06748567782019263,-0.09344239859160443,-0.1058021562226712,-0.06000061560534277,57.79661016949152
AB,2026-03-13,1.0182193570090663,0.9442664184466383,0.5032519775144458,0.5828411502568724,0.37136363848740706,-0.03225038263054362,-0.15597061030987905,-0.4639762032094013,-0.4435572834354593,-0.6008358052352468,-0.3448470996307473,5.084745762711865
ABA,2026-03-13,1.0443275456503245,0.9055901715372355,0.6825168831142661,0.579392386054169,1.1491868197588333,0.24303726081197452,-0.230074457652856,-0.3166989739101601,-0.446163597714694,0.006329017813639392,-0.21217672156309228,20.33898305084746
ABG,2026-03-13,0.9943403280706841,0.6015190600252955,0.5570758402761611,0.5877466443772572,0.564943749560831,-0.2840335183535184,-0.8126759515794053,-0.4197565643949652,-0.4398500832265733,-0.44972815414472905,-0.5325745181749387,1.0169491525423728
ABS,2026-03-13,1.0443275456503245,0.9787813393609454,0.9389121143370857,0.8833945639220973,0.8147219990827549,0.24303726081197452,-0.0898398806017976,-0.10605440221506851,-0.21642182050808392,-0.2547525217335912,-0.11065908101476442,42.3728813559322
AC,2026-03-13,0.9903595763828099,1.121599184319211,1.0416234092691121,0.9164546884380922,0.9340970131299042,-0.3260070066847982,0.18379969475387908,-0.0216707082359765,-0.19143748712519537,-0.16156899233309208,-0.04540131557631311,65.42372881355932
ACE,2026-03-13,1.0443275456503245,0.9684783778939879,0.8450209029033772,0.8425168924725053,0.8098296380850839,0.24303726081197452,-0.10958039693256832,-0.1831918510048203,-0.24731406263858982,-0.25857147386945667,-0.14261688935791458,35.25423728813559
ACEN,2026-03-13,0.9811475873725467,0.923026324057808,1.0710553007993422,1.0622193744326431,0.9185541708106938,-0.4231392428923394,-0.19666671807409034,0.0025094146001378038,-0.08127959862184281,-0.17370165607164811,-0.14299775419654237,34.57627118644068
ACR,2026-03-13,0.9137866024440339,1.3121319958563706,1.2421807272679644,1.1363083433389953,1.333661546088541,-1.1334009564006127,0.5488613413260364,0.14309955737582994,-0.02528877807138797,0.15032905183921738,0.10458479826331213,83.38983050847457
AEV,2026-03-13,0.9479758970933004,1.153851192412759,0.9715237628964513,0.9129275197523367,0.9584038516348082,-0.7729052328449353,0.2455946742374674,-0.07926191192460548,-0.19410305356309449,-0.1425951977033356,-0.08363748936252394,47.79661016949153
AGI,2026-03-13,0.9676255225234645,1.089372112308738,1.0735768000587393,1.0092030776695167,1.374235905294938,-0.5657173978892067,0.12205249290750195,0.0045809825033006285,-0.1213452926398813,0.18200119047052582,-0.015779626248242317,71.52542372881356
ALCO,2026-03-13,0.9769515749632066,1.0275319375216703,1.0090543722905032,1.0112543034371377,1.3886007405419236,-0.4673824642009751,0.0035664649633119316,-0.04842819047213628,-0.1197951318594214,0.19321430787415703,-0.05275223473989873,64.0677966101695
ALHI,2026-03-13,1.0443275456503245,0.9684783778939879,0.8497259190665363,1.0598178789407084,0.7782867736816699,0.24303726081197452,-0.10958039693256832,-0.17932638864898642,-0.08309446668015795,-0.2831936735481145,-0.1124999345290684,41.69491525423729
ALI,2026-03-13,0.9578481217732275,0.8611727923620719,0.7351238274732923,0.7284415507263967,0.8540313260292945,-0.6688113983390257,-0.3151783379099458,-0.27347910897802197,-0.33352354946531976,-0.2240678608564838,-0.33011930747292834,5.762711864406779
ALLDY,2026-03-13,0.986309348669751,1.0290082765123623,0.5237369137786556,0.3592753011166424,0.3384980978992604,-0.3687130579491746,0.0063951365107088156,-0.4471465585822524,-0.6125113872001218,-0.6264904792229646,-0.36321525381073694,4.406779661016949
ALLHC,2026-03-13,0.9979129880658655,0.9254348944320329,0.92156265135477,0.9118252922417807,0.8705668609414653,-0.24636299419694663,-0.19205188738112097,-0.12030806123056609,-0.1949360334744133,-0.21116030632390248,-0.1829901335851405,25.423728813559322
ALTER,2026-03-13,1.0051652626884373,0.8773274717392597,0.8434560493794819,0.7745349605238024,0.737394876011918,-0.16989420435180153,-0.28422590611773824,-0.18447747515131624,-0.2986896480813332,-0.3151136810904509,-0.25538154283816494,13.898305084745763
ANI,2026-03-13,1.0253397720930457,0.9338898643977741,1.2099162927934717,1.2019310136230104,1.1312307757001019,0.04282806558105139,-0.17585213032872657,0.11659232497353333,0.02430385643481217,-0.007687378940899149,-0.015617086851301934,71.86440677966101
